,equal_returns,industry_returns,NIFTY_returns
263,65672.12087249756,59928.11036348343,83108.9990234375
264,63192.35107803345,57892.733808517456,78948.9990234375
265,62570.181159973145,57728.57385158539,78210.498046875
266,62976.45109939575,57297.38033533096,78735.0
267,62618.1010055542,56666.26709699631,78188.5009765625
268,62178.67064666748,56281.203531742096,78500.0
269,62184.37106704712,55942.04044723511,78543.9990234375
270,60484.63037490845,55148.97996664047,78188.9990234375
271,61478.930797576904,55964.09347009659,79650.0
272,60797.55071258545,55195.14702796936,78125.498046875
273,60807.72093582153,55124.98054265976,78020.498046875
274,58420.51080703735,53130.527132987976,75432.5
275,59031.650287628174,53690.55994081497,75825.0
276,59507.17033004761,54478.16691637039,77248.5009765625
277,60494.40041732788,54708.78008842468,77686.0009765625
278,60228.54030227661,54500.89010190964,77140.0
279,60549.48120880127,54736.400404930115,77225.0
280,60960.17039871216,55053.216935157776,78935.498046875
281,62150.650524139404,55916.71683263779,80302.5
282,63482.700508117676,57368.24363708496,81203.9990234375
283,64569.00046539307,58694.07993888855,83181.0009765625
284,65756.2305984497,59393.31701993942,84354.501953125
285,68052.09009552002,61200.1366276741,85010.0
286,68931.79193878174,61898.374806404114,84838.9990234375
287,71938.66119003296,64636.53716087341,85973.49609375
288,74813.89043426514,67839.45343017578,86219.501953125
289,73271.76098251343,66603.88044691086,85360.99609375
290,73641.79067993164,66743.53347635269,85913.49609375
291,72217.14081954956,65410.59722852707,84350.0
292,72382.63989257812,65257.11333608627,84944.00390625
293,73029.31126022339,65242.19372367859,83844.501953125
294,72730.80961990356,64789.19319438934,84502.998046875
295,72805.85981369019,64879.699746608734,84384.501953125
296,74158.26985168457,65966.5426812172,85816.50390625
297,75775.06133651733,67036.57389640808,87014.00390625
298,75965.84004974365,67845.33682870865,87844.501953125
299,76660.26042556763,68988.47366809845,89190.99609375
300,76913.4813156128,68912.48355102539,87942.5
301,76012.92916870117,68082.32665014267,87979.00390625
302,77296.27993392944,69155.05015277863,88570.0
303,76891.29098510742,68143.5039191246,87860.498046875
304,76473.40126037598,67532.0273528099,87727.998046875
305,76327.79110717773,67399.73711776733,88527.5
306,76403.19102859497,67545.39714050293,89458.49609375
307,76078.16161727905,67527.49418115616,89942.5
